1.4182e-08+1.5535e-08i,-5.899e-08-7.5136e-08i,-1.3507e-07+5.2343e-08i,4.3926e-08-3.1929e-08i,-6.6538e-08-6.1627e-08i,4.197e-08-4.7195e-08i,-6.5524e-09+5.894e-08i,1.3338e-09+7.9359e-08i,1.6968e-08+5.0787e-08i,-4.9362e-08+7.2128e-08i,-1.1184e-07+3.9594e-08i,3.2898e-08-3.225e-10i,4.1893e-08+3.0988e-08i,2.8681e-08-6.4271e-08i,7.831e-09-7.9649e-08i,2.0571e-08+9.5097e-09i,-2.1004e-09-3.9867e-08i,-3.0802e-08+3.0481e-08i,1.103e-07+5.5535e-08i,1.9324e-08-5.3437e-08i,-4.4822e-08-2.6615e-08i,-5.2042e-08-3.4539e-08i,-1.2593e-08+1.7189e-08i,-1.6353e-08+6.1325e-08i,1.3596e-08+2.3748e-08i
-5.8171e-09+8.4313e-10i,7.8819e-08+6.1427e-08i,-1.1552e-08-2.7729e-08i,-4.3296e-08-9.8571e-09i,1.766e-08-2.2497e-09i,-7.6335e-08+1.2722e-08i,4.4807e-08-6.2744e-08i,2.8674e-08+3.6981e-08i,-8.0188e-09-5.9855e-09i,-2.0372e-08+3.3359e-08i,-3.4302e-08+1.1102e-08i,1.2145e-08+4.9087e-09i,-9.1305e-08-1.2968e-08i,-3.467e-08+4.3661e-08i,2.4237e-09-4.0853e-08i,5.9749e-08+2.3072e-08i,5.2507e-08-5.9796e-08i,2.2315e-08-6.1173e-08i,-6.1463e-08+3.4267e-08i,2.2335e-08-1.7923e-08i,1.9659e-08+1.4509e-08i,1.0186e-08-1.3594e-08i,-9.6261e-09+9.365e-09i,-1.1369e-08+4.8829e-08i,-2.679e-08-8.5794e-08i
-9.5921e-08+4.589e-09i,-7.2979e-10+3.8536e-08i,-4.3095e-08-4.39e-08i,3.4353e-08-2.938e-08i,-4.3744e-08-1.8173e-08i,3.897e-08-5.056e-08i,9.2346e-09-2.013e-08i,-1.3538e-08-2.554e-09i,-2.6197e-08-5.829e-08i,2.3499e-08+1.463e-08i,-5.1417e-08-5.0524e-08i,-9.0637e-09-4.6287e-08i,6.4368e-08+1.7048e-09i,-2.5344e-08+1.2663e-07i,2.3331e-08+4.4502e-08i,-5.1356e-08-7.5798e-08i,-3.5677e-08+3.0046e-09i,-2.7853e-08-6.5167e-08i,3.1011e-08-4.5629e-08i,-6.15e-08+1.6511e-08i,-2.6718e-08+3.9191e-08i,-5.1308e-08-1.6722e-08i,2.6823e-08-5.2398e-08i,6.6237e-08+1.092e-07i,1.8149e-08-5.938e-08i
6.6578e-08+2.9937e-08i,4.3976e-08-3.4339e-08i,4.6056e-08-8.4173e-08i,5.4914e-08-5.7196e-08i,-6.2264e-08-9.1162e-08i,4.523e-08+2.7445e-08i,-2.6383e-08+1.6177e-09i,-3.6267e-08-1.9231e-08i,-2.6527e-08-2.1573e-08i,-7.3504e-08+2.4959e-08i,6.8433e-09-5.1883e-09i,6.9219e-08-7.348e-08i,4.3046e-08-5.1424e-08i,1.4321e-08-8.7099e-08i,-9.0862e-08-1.1913e-08i,-1.1725e-08-3.9248e-08i,2.3338e-09-9.1774e-08i,5.5744e-08-4.1903e-08i,-4.061e-08-5.2891e-08i,-1.9916e-08+2.4528e-08i,-2.3221e-08-4.741e-08i,4.1628e-08+5.8522e-08i,7.4305e-08-3.7235e-08i,7.4909e-09+2.4161e-08i,-5.4039e-08-2.8768e-08i
-6.2548e-08+1.793e-08i,-3.1874e-08+5.8191e-08i,2.5463e-08+9.8208e-08i,2.2741e-08-3.0362e-08i,-1.5946e-08-8.9707e-09i,-6.1087e-08-1.4847e-08i,1.6751e-08-8.6053e-08i,2.4206e-08+3.8549e-08i,-1.6678e-08-1.9744e-08i,-2.897e-08+4.8641e-08i,4.2937e-09+4.0891e-09i,2.6705e-10+3.7713e-08i,-8.2074e-09+1.2212e-08i,1.8841e-09-5.5414e-08i,-4.8207e-08+2.2331e-08i,-1.1481e-08-8.2343e-08i,-5.4912e-08-2.3474e-08i,-8.7728e-09-4.8213e-09i,5.881e-10-3.6306e-08i,5.0177e-08+1.449e-08i,-3.2096e-08-3.0375e-08i,5.0442e-08+6.7895e-08i,3.6737e-08-6.7706e-08i,5.8482e-08+8.1134e-08i,-6.3768e-09+2.2707e-08i
4.8864e-08-4.9337e-09i,-2.9201e-08-5.8913e-08i,3.4396e-08-2.2657e-08i,2.0275e-08-3.4339e-08i,-3.3797e-08-5.0245e-08i,2.6978e-08-1.1702e-08i,-1.3829e-08-4.8329e-08i,-5.1016e-08-2.8617e-08i,3.2184e-08+2.7805e-08i,5.9474e-09+2.3524e-08i,-1.9651e-08-2.3258e-08i,5.7557e-08-2.728e-08i,2.0406e-08+4.573e-08i,-9.0704e-08-3.3597e-08i,3.7232e-08+1.946e-08i,2.8458e-08+2.8795e-08i,5.8171e-08+3.8263e-08i,-2.3732e-08-1.2601e-08i,1.7866e-08+5.8734e-09i,-3.8671e-08-2.1965e-08i,4.0044e-09-5.0158e-09i,6.3209e-08-3.0112e-08i,-4.4857e-08-4.8366e-08i,-5.8754e-08-3.913e-08i,4.5294e-08-1.6961e-08i
-2.2719e-08+4.5955e-09i,-2.9958e-08+3.9552e-08i,-7.2086e-09+2.1936e-08i,1.6534e-08-8.7146e-08i,-7.0116e-08-3.2884e-08i,-7.1123e-08-4.5938e-08i,7.3383e-09+2.9713e-08i,3.0107e-08+2.1291e-08i,8.0647e-08-4.4789e-08i,-5.1204e-08+4.6026e-08i,-4.3947e-08-4.3825e-08i,-3.2782e-08-4.5524e-08i,3.0728e-08+2.1969e-08i,4.1882e-09-6.9104e-08i,4.7529e-08-1.163e-08i,-3.8648e-08+1.0476e-08i,-3.3757e-10+5.8009e-08i,3.5349e-08+5.3045e-09i,-2.9351e-08+1.6091e-08i,-7.5323e-08+3.8353e-08i,-9.5463e-09+5.7914e-08i,-9.2351e-08-5.8757e-08i,6.4537e-09+1.8472e-08i,-8.0403e-08+5.3105e-08i,-1.2793e-08-6.0646e-08i
-2.044e-08-3.6936e-08i,-8.4333e-08+2.9264e-08i,-1.9341e-10-6.0357e-09i,4.2432e-08-1.8231e-08i,-1.672e-08+9.2902e-08i,2.0747e-08-6.7988e-08i,-2.3529e-08-4.9944e-08i,6.2355e-08+6.6269e-08i,4.7079e-08+2.1398e-08i,-6.0543e-08-2.068e-08i,-2.1297e-08-4.268e-08i,-6.5158e-08+1.3823e-08i,-8.9027e-08-8.8012e-08i,-2.3411e-08+2.2718e-08i,-3.6709e-09+2.2947e-08i,8.0412e-08-1.25e-09i,8.8504e-08-8.9771e-08i,-6.1755e-09-1.5161e-07i,-9.3708e-10-7.7162e-08i,-2.8409e-08+4.5051e-08i,1.0735e-08+5.3828e-08i,3.7811e-09-1.4843e-08i,-4.6498e-08+7.9882e-08i,6.0367e-09-1.6879e-08i,4.4849e-08-6.3131e-08i
1.6242e-08+4.6831e-09i,-8.0109e-08+1.1225e-08i,-2.7006e-08+5.6528e-09i,1.6687e-08+1.1802e-08i,1.6487e-08-9.8604e-10i,3.8705e-08-8.8867e-08i,1.1741e-09+3.7267e-08i,8.7718e-09-2.7455e-08i,-1.0675e-08+5.9547e-08i,-2.6552e-08-3.9327e-08i,1.2341e-08-2.6941e-09i,-8.9758e-09-6.7522e-09i,1.8752e-08+8.5163e-09i,-3.4941e-09-5.4751e-08i,5.7109e-08+5.2247e-08i,2.5092e-08-5.4476e-08i,-3.5693e-08-4.1535e-08i,-4.6911e-08+3.9971e-09i,-3.0999e-09+1.9583e-08i,2.1076e-09-2.1756e-08i,-4.3004e-08+6.4997e-11i,-8.4742e-09+4.2174e-08i,-3.1201e-08-6.3011e-09i,-5.6051e-08+1.9662e-08i,-5.2091e-08-5.2569e-08i
5.6166e-08+1.9935e-08i,6.1062e-08-4.3584e-08i,-1.4093e-08-6.2561e-08i,-6.3834e-08-1.8071e-08i,-3.7263e-08-8.3901e-09i,3.1966e-08-6.6091e-09i,2.2202e-08-3.8017e-08i,1.1732e-08+3.0975e-08i,-7.1347e-08-4.929e-08i,-2.1779e-09+3.1749e-08i,2.6056e-08-8.6598e-08i,1.5788e-08+2.0044e-08i,-5.2541e-09+4.7873e-08i,9.3024e-10+7.5511e-08i,4.8369e-09+3.8501e-08i,-4.1203e-08-2.7528e-08i,-2.4972e-08+1.4771e-08i,-2.5212e-08+2.3586e-08i,5.9305e-08+5.1198e-08i,-3.0509e-09+2.4428e-08i,-8.3788e-08+3.5771e-08i,1.5372e-08-4.7102e-08i,2.4949e-08+6.7521e-08i,-4.368e-08-3.2216e-08i,5.7727e-08-5.2763e-08i
4.9891e-08-7.1412e-08i,-4.7928e-08-4.9195e-08i,-2.985e-09+5.7074e-08i,-4.9687e-08-4.4907e-08i,7.1583e-08-3.7446e-08i,-1.2997e-08+1.4729e-08i,-6.8406e-08-3.9349e-08i,-8.3302e-09+2.5856e-08i,1.0759e-07+1.4136e-08i,3.549e-09+1.2196e-09i,9.7306e-09-1.1976e-07i,2.6065e-09-4.7845e-08i,-7.2653e-08+3.0683e-08i,8.3174e-09+4.7286e-08i,-6.3705e-08+2.7436e-08i,-7.7368e-08-4.0362e-09i,-1.0862e-07+6.4671e-09i,-1.529e-08-1.3284e-08i,-3.2105e-08+8.1712e-09i,1.9474e-08+2.3067e-08i,4.6375e-08+1.9912e-08i,1.3445e-09+4.3508e-08i,-3.8829e-08+6.4392e-08i,-3.2581e-08-2.573e-08i,1.4667e-08+6.6854e-08i
-6.2922e-09+2.1166e-08i,2.0108e-08-7.2333e-09i,6.6106e-08-1.3777e-08i,-3.1569e-09-1.0335e-07i,-2.7541e-08+1.2922e-08i,-9.002e-08-5.4602e-08i,-5.7063e-08+2.1487e-08i,3.422e-08+1.6849e-08i,-4.3279e-10+3.1873e-08i,2.7471e-08-1.3178e-08i,1.4164e-08-1.0454e-08i,2.7043e-08-1.5948e-08i,-3.3258e-08+6.7571e-08i,-5.5209e-08+2.1432e-08i,2.7467e-08+5.1759e-08i,-5.061e-08-3.4987e-08i,-1.4381e-08-5.0401e-09i,6.4858e-08+4.5401e-08i,4.4402e-08-2.8475e-08i,2.7859e-08-2.1743e-08i,-1.3321e-08-9.3503e-08i,2.9526e-08+2.4181e-08i,-1.2344e-08+4.673e-08i,3.6833e-09+5.1681e-09i,5.4451e-09+5.1038e-08i
6.5044e-08+4.9613e-08i,-1.7334e-08+5.1889e-08i,1.507e-08+6.7601e-08i,6.9172e-08-4.1717e-08i,1.5337e-08-9.2345e-08i,8.8929e-09+6.9038e-08i,-6.6713e-08-3.0425e-08i,3.4384e-09+1.2856e-08i,4.1839e-09+1.7787e-08i,4.7963e-08-2.6508e-09i,-4.7314e-08-1.2895e-10i,1.2648e-08-4.3617e-08i,2.1445e-08+4.9496e-09i,-3.3623e-08+1.5518e-08i,1.2839e-08+2.8425e-08i,5.0812e-08+4.2769e-09i,1.176e-07-2.8891e-08i,-3.1452e-08-6.8219e-08i,5.544e-09+5.0466e-08i,-4.7395e-08+1.8433e-08i,-2.0192e-08+3.0518e-08i,7.4797e-08+1.0378e-09i,9.3142e-08+2.8572e-08i,9.0801e-09-3.5914e-08i,-3.2045e-08+2.3971e-08i
4.2296e-08+1.0993e-07i,3.7735e-08-1.1296e-07i,2.2875e-08+5.1001e-09i,5.2466e-08-9.723e-09i,-4.2807e-08-9.2488e-09i,-4.0384e-09+6.6867e-08i,7.113e-08+2.935e-08i,-5.8423e-08-2.556e-08i,-5.3479e-08+8.2921e-09i,-4.8709e-08+2.0818e-08i,-2.1446e-08+1.0398e-08i,-3.5217e-08+8.0405e-09i,-4.9091e-08+1.2516e-08i,-1.4004e-08+8.423e-08i,-1.0034e-07+2.7063e-09i,1.8036e-08+2.9063e-08i,-3.314e-09-1.8154e-08i,-1.9086e-08+6.069e-09i,-1.2339e-09-3.6007e-09i,5.6011e-09-1.1072e-08i,-8.4304e-09-1.2637e-07i,-4.1422e-08-5.4818e-08i,-6.3067e-08+1.9929e-08i,3.7248e-08+2.3531e-08i,-2.6953e-09-4.2441e-08i
-3.058e-09+4.5109e-08i,7.2472e-08+1.9498e-08i,-8.1678e-09-2.0341e-08i,2.948e-09-1.0989e-07i,-3.2777e-08-5.2786e-08i,9.3349e-08+6.4597e-08i,-3.0186e-09+8.9466e-08i,-8.4614e-08+7.3957e-11i,1.6586e-08-1.0552e-08i,3.3053e-08-7.0151e-08i,9.5115e-10-7.6129e-08i,-6.581e-08+8.1994e-09i,1.1802e-08-1.9851e-08i,1.8621e-08-4.7477e-08i,2.8975e-08+3.9966e-08i,-3.3544e-10-1.0111e-08i,7.7266e-08-4.2686e-08i,-5.833e-08-2.7187e-08i,4.2999e-08+8.9533e-08i,-2.0967e-09-4.6908e-08i,3.3982e-08-1.054e-07i,3.9487e-08+5.9366e-08i,-2.3191e-08+2.7784e-08i,6.1912e-10-3.1332e-08i,-1.1059e-08+1.1387e-08i
-2.2428e-09+3.6677e-08i,2.9029e-08-7.3737e-08i,-3.0673e-08+4.9973e-08i,4.9545e-08+2.845e-08i,-8.1677e-09+5.1746e-08i,-1.2693e-08+8.7066e-09i,1.7829e-08-7.7683e-09i,-3.6072e-08+9.8258e-09i,-1.0378e-08-2.2163e-08i,-7.0621e-08+2.3503e-08i,-4.6483e-08-7.2727e-08i,7.0329e-09-4.2036e-09i,9.2436e-09+9.3251e-10i,4.9999e-08-7.0026e-09i,2.4573e-08-3.5164e-08i,-3.1888e-08+4.0664e-08i,3.8896e-08+5.0525e-08i,-1.3959e-08+5.5293e-08i,-5.1755e-08-2.0169e-08i,-3.6588e-08-2.3521e-08i,-1.7325e-08+2.7913e-08i,4.1971e-08+3.4072e-08i,1.0719e-07+1.8295e-08i,2.4781e-08-5.424e-08i,3.3964e-08-2.0237e-08i
5.8444e-08-3.4789e-09i,1.4421e-08-4.3296e-08i,-3.5956e-08+2.9044e-08i,9.6069e-08-4.904e-08i,1.129e-07-3.7792e-09i,3.4399e-08-6.3736e-08i,-2.9111e-08+7.9045e-08i,1.1577e-08+1.9036e-08i,2.8888e-08+9.8561e-08i,6.5627e-08+3.6551e-08i,5.9334e-09+5.3695e-08i,9.0609e-08+9.4624e-08i,-9.0414e-08-1.4883e-09i,3.3101e-08+4.4789e-08i,1.3292e-08+1.2048e-08i,7.2382e-08-3.3909e-08i,-6.708e-08-2.3656e-08i,-3.057e-08-4.2838e-08i,4.9885e-08-4.783e-08i,5.309e-09-8.6483e-10i,4.6491e-08+6.3012e-09i,1.9929e-08-8.4699e-09i,-8.5569e-08+8.8189e-09i,-6.393e-08-7.6268e-08i,6.15e-08-1.3764e-08i
2.41e-08+1.8546e-08i,-3.1471e-09+4.1672e-08i,5.0979e-08+2.8972e-08i,3.2047e-08+7.2466e-08i,9.6137e-09+3.7683e-08i,3.3319e-08-8.1149e-08i,6.9545e-08+7.6779e-08i,-3.9573e-08+5.1677e-08i,-1.3745e-07-8.7462e-09i,7.4811e-08+6.7445e-09i,-3.3172e-08+8.5462e-08i,-9.8098e-09-4.3659e-09i,-2.497e-08-2.2389e-09i,-5.0928e-08-9.842e-10i,-8.3788e-08-9.5168e-08i,-3.3071e-08+2.233e-08i,4.3432e-08+3.359e-08i,3.2115e-08-1.9775e-08i,4.0248e-08-1.2716e-08i,2.2979e-08-2.1059e-08i,-1.3962e-08+6.2727e-09i,1.0805e-08-7.9388e-08i,-4.6644e-08-5.6939e-08i,1.1741e-08+5.5884e-08i,-1.4776e-08+3.445e-08i
-5.3477e-08+3.0934e-08i,-6.4414e-08-1.4866e-08i,-1.9819e-08-1.3671e-08i,-7.1727e-08-2.1956e-09i,2.701e-08-2.1364e-08i,6.5487e-08+1.3635e-08i,-5.6489e-08+2.0921e-09i,1.1582e-07+1.2392e-08i,9.8742e-09-4.3364e-09i,4.986e-08+1.0397e-08i,4.3207e-09-3.1107e-08i,9.845e-08+4.5849e-08i,-4.8817e-08+1.0557e-08i,-9.8243e-10+1.2056e-07i,-2.4588e-08+3.2678e-08i,-3.8894e-08-2.8105e-08i,-1.9533e-08-8.553e-08i,3.6335e-08+6.3747e-08i,-1.2303e-08-1.6484e-08i,-4.855e-08+2.191e-09i,3.4058e-08-8.8904e-09i,5.1187e-08+8.4594e-08i,1.2329e-08-1.0843e-08i,5.3815e-08+4.4181e-09i,-6.2244e-08+1.3549e-08i
-4.0936e-08+1.3737e-08i,-2.9655e-08+3.9183e-08i,-1.1829e-08+3.3377e-08i,-6.0104e-08+9.6795e-09i,-6.1292e-10-1.9487e-08i,5.8833e-09-5.2612e-08i,4.4421e-08+1.2271e-08i,-4.5786e-08-2.0583e-08i,-3.2989e-08-6.2414e-09i,1.7348e-08+4.4348e-08i,3.6643e-08-6.1814e-09i,8.7349e-08+5.5502e-08i,2.7165e-08-1.6207e-09i,-4.0121e-09-7.2966e-08i,-6.474e-08+2.1769e-09i,-6.2503e-08+4.2386e-08i,-1.2777e-08+5.5024e-08i,2.3878e-08-5.3283e-09i,-1.9407e-08+2.0002e-08i,4.3076e-08+3.7531e-08i,1.0345e-07+9.5369e-09i,1.0099e-08+2.477e-08i,-6.9049e-08-2.268e-08i,-2.687e-08+1.1567e-08i,-7.2837e-09-4.2853e-08i
-7.8892e-09+8.6981e-08i,-9.1009e-09-2.3343e-08i,-1.0441e-07+1.6199e-08i,-4.5585e-08-6.4003e-08i,2.3801e-08+5.0365e-08i,1.6e-08-2.751e-08i,-3.9266e-08+6.9113e-08i,1.1447e-08+5.3716e-09i,4.5254e-08+4.8117e-08i,1.132e-08-3.9692e-08i,1.3762e-08+2.8881e-09i,3.2074e-08+5.0551e-08i,-1.6976e-08-1.7641e-08i,-7.3918e-08-7.9459e-09i,1.1068e-08+1.5215e-08i,4.8915e-08+4.2424e-08i,6.732e-08+2.8929e-08i,5.856e-08-8.7921e-08i,5.6316e-09-1.6944e-08i,2.9306e-08-1.176e-07i,-5.5552e-08+4.0445e-08i,-7.0636e-08+5.8092e-09i,-1.5205e-07-2.4583e-08i,1.3427e-08-2.3546e-08i,-2.4371e-08+4.5926e-08i
2.6008e-08+1.9595e-09i,2.6245e-09-4.5499e-08i,5.1512e-08+5.377e-08i,-4.7193e-08+9.4983e-08i,3.5046e-08-1.0197e-09i,-5.3385e-09+4.0901e-09i,1.0075e-08+2.894e-08i,1.2643e-08+3.2671e-08i,5.7801e-09-1.0228e-07i,3.9067e-08-4.6515e-09i,4.2612e-08-9.9351e-09i,-1.602e-09-3.7652e-08i,-7.8574e-08+2.1915e-08i,3.8271e-09+4.6729e-08i,-2.3416e-08+1.2079e-08i,1.9181e-08-3.8013e-09i,-7.5587e-08+7.4452e-09i,-3.959e-08+3.3106e-08i,-4.8844e-08-1.3638e-08i,-6.1189e-08+2.2295e-08i,-3.4958e-08+4.2831e-08i,-2.4962e-08-4.8281e-08i,8.8649e-08-6.9429e-09i,2.1862e-08+4.3432e-08i,7.2328e-08+3.3564e-08i
-1.5078e-07-1.5852e-07i,-8.5405e-08-2.5309e-08i,-4.5491e-08-9.6908e-08i,-4.0831e-08-4.4096e-08i,-1.2884e-07-8.4771e-08i,-6.8278e-08-1.1438e-07i,-4.9338e-08-1.1246e-07i,-9.2653e-08-5.7225e-08i,2.3206e-09-9.4873e-08i,-8.609e-08-1.254e-07i,-7.4444e-08-1.4684e-07i,-1.1532e-07-1.4903e-07i,-6.2085e-08-9.397e-08i,-6.3968e-08-9.3896e-08i,-9.8026e-08-1.4874e-07i,-1.1128e-07-1.2763e-07i,-5.2816e-08-9.4596e-08i,-1.2969e-07-1.0358e-07i,-7.2883e-08-3.3474e-08i,-8.7817e-08-1.0442e-07i,-1.1734e-07-1.7538e-07i,2.3313e-09-1.6798e-07i,-2.7181e-08-1.5443e-07i,-1.2959e-07-1.6621e-07i,-5.4924e-09-1.2294e-07i
-3.0066e-07-3.9812e-07i,-2.0984e-07-2.8259e-07i,-2.3505e-07-3.782e-07i,-1.4787e-07-4.6941e-07i,-2.2796e-07-3.7e-07i,-2.6986e-07-3.6006e-07i,-3.131e-07-4.5044e-07i,-3.3492e-07-4.1043e-07i,-3.0413e-07-5.2053e-07i,-3.2916e-07-3.7217e-07i,-2.6343e-07-5.0058e-07i,-2.1046e-07-3.4116e-07i,-2.1178e-07-3.7759e-07i,-2.7287e-07-4.3653e-07i,-2.723e-07-4.396e-07i,-2.7266e-07-4.3203e-07i,-2.8383e-07-4.4297e-07i,-1.762e-07-4.4515e-07i,-2.596e-07-3.8437e-07i,-2.4352e-07-3.4541e-07i,-2.8424e-07-4.4194e-07i,-3.1624e-07-3.7241e-07i,-2.6449e-07-4.1561e-07i,-2.5722e-07-4.3517e-07i,-2.4077e-07-5.2295e-07i
-3.5767e-07-5.5375e-07i,-3.4031e-07-4.8065e-07i,-3.0623e-07-4.8988e-07i,-3.2124e-07-5.5402e-07i,-3.4884e-07-4.2096e-07i,-2.9565e-07-6.0309e-07i,-3.0253e-07-5.1287e-07i,-2.6738e-07-5.878e-07i,-3.6483e-07-5.7551e-07i,-3.0945e-07-5.7221e-07i,-2.6723e-07-5.653e-07i,-2.7873e-07-4.7443e-07i,-3.3443e-07-4.9433e-07i,-4.1734e-07-5.8562e-07i,-2.9633e-07-5.4454e-07i,-3.3764e-07-4.1052e-07i,-3.0529e-07-4.472e-07i,-2.683e-07-4.7245e-07i,-3.2916e-07-5.2983e-07i,-3.0621e-07-5.3109e-07i,-2.7641e-07-4.8691e-07i,-2.8627e-07-4.6592e-07i,-3.4383e-07-4.9632e-07i,-3.6306e-07-4.3975e-07i,-2.4904e-07-5.1549e-07i
